"","word","RC1","RC5","RC2","RC4","RC6","RC3","RC7"
"1","hour",0.667263510177199,0.16046147880834,-0.0477907931032754,-0.151210233999161,-0.0284781052377199,0.0764319211049126,0.179955480149872
"2","night",0.575744458444323,0.197690048005699,-0.024565524989933,0.138497258152509,-0.0450552632440863,0.0971674410211332,0.187440680289552
"3","late",0.557918374831939,0.088655913095092,-0.00607181487626975,0.0210351966285843,0.14696402704605,0.0885275799194552,0.0255484585737457
"4","plan",0.536150064376304,-0.0382439186077145,0.132284122229994,0.145692429907819,-0.314077744480084,-0.0563188759473982,-0.113339484625662
"5","day",0.501314194225897,-0.0090829940792659,0.148245742321408,0.106688770135027,0.0585699955302526,0.0741003355701821,-0.0366455238417737
"6","call",0.486601583069592,0.123109852756094,0.107794839225406,0.169336691072412,0.0864741267794635,-0.193654265969298,0.138650498783361
"7","spend",0.468269376411977,-0.00627005600105699,0.237465436566732,0.061389849132236,0.106485768443095,0.202075389021315,0.0316779921533393
"8","phone",0.441201912402045,0.0646551305890303,0.128224086060135,0.202784261488676,-0.171362610407165,-0.00283509714433615,0.26594035623437
"9","give",0.402963092668711,0.0495999855169008,0.109214527367196,0.0539813609613085,0.17198380577627,0.17151811880468,-0.0860771808800711
"10","work",0.391166098031149,0.0350619929489113,0.0169712208831177,-0.217359814765193,0.359675052728989,0.00688842182082485,0.0550131856073202
"11","end",0.386809780701202,0.178133970789708,0.0616526977222457,0.182551922647544,0.213414116494594,-0.155043795361726,0.132700775870478
"12","week",0.37525480049148,-0.0157992011431211,0.0898542473439469,0.296641251571992,0.182332668117056,0.289272025188348,-0.127420159288671
"13","look",0.33894384261728,0.227567520711898,-0.0132520435660186,-0.0633187170479517,-0.0614730388678731,0.167930966320533,-0.032227898678224
"14","long",0.327487693633001,0.164726840409126,0.0548771234256262,0.187800318092919,0.114172397463435,-0.062376321424531,-0.0549637167677152
"15","see",0.302018032057091,0.232063875454775,0.152485896841325,0.18974803981155,0.0360350419952346,0.140607426614936,0.0874575583478652
"16","place",0.272351369809876,0.0542857366331244,-0.0139263012103899,-0.0535130323231027,0.00757087088037894,0.205107620244988,0.110455107284843
"17","show",0.264633588007615,0.13772570339643,0.0628662235864357,-0.0175964889559557,0.245314364102136,0.182787750879439,0.0882733455129351
"18","fact",0.256350654787396,0.240782212037994,-0.0355690141587879,0.0531487881382522,-0.0202749060430483,0.249195652329378,0.136868797368955
"19","upset",0.111541361381611,-0.00368913368138079,0.0702464978446753,0.0496159115855484,-0.0398491259167906,0.0453547397755775,-0.0304655856147954
"20","people",0.0694417743281919,0.502671114022981,-0.0306654433412593,0.0211475512660899,-0.00232598824006606,-0.00836881546798323,0.109272322342599
"21","person",0.00929065915465718,0.498136570043858,-0.0144009629309993,0.057288097136783,-0.0043102623654076,-0.0218110261831274,-0.108473993847725
"22","happen",-0.121444060681555,0.475394286945407,0.187596348199168,0.113357185431968,0.113799301229127,0.232820785217296,0.122813324481434
"23","walk",0.00311247353778979,0.46504555828868,-0.113644300729296,-0.339366539044751,-0.0210758222367766,0.299540445889716,0.0359242731603992
